"ord","fam","spp","mass.fem","gest.mo","lac.mo","mass.litter","repro.output","dev.birth","diet","arid","biome","N","fat","gest.month","lacat.mo","prot","sugar","energy"
"Carnivora","Phocidae","Halichoerus grypus",155000,7.87,0.6,12820,0.08,3,"carnivore","no","aquatic","13",59.8,7.87,0.6,9.2,NA,NA
"Carnivora","Phocidae","Leptonychotes weddellii",369500,9.6,1.3,28394,0.08,2,"carnivore","no","aquatic","7",53.6,9.6,1.3,8.9,0.02,5.41
"Carnivora","Phocidae","Mirounga angustirostris",363000,8.45,0.9,35250,0.1,2,"carnivore","no","aquatic","20-24",51.9,8.45,0.9,10.2,0.025,NA
"Carnivora","Phocidae","Mirounga leonina",556500,7.63,0.8,39919,0.07,2,"carnivore","no","aquatic","5",46.9,7.63,0.8,7.4,0.02,4.71
"Carnivora","Phocidae","Pagophilus groenlandica6",129000,7.63,0.4,8477,0.07,2,"carnivore","no","aquatic","8",53.5,7.63,0.4,7.7,0.8,5.36
"Carnivora","Phocidae","Phoca vitulina",87833,8.35,1.1,11084,0.13,3,"carnivore","no","aquatic","15-May",49.9,8.35,1.1,9,NA,NA
"Carnivora","Ursidae","Ursus arctos",1e+05,6.93,13.8,1168,0.01,0,"omnivore","no","terrestrial","9",17.1,6.93,13.8,9.2,2.2,2.18
"Carnivora","Ursidae","Ursus americanus",88500,6.75,6.4,748,0.01,0,"omnivore","no","terrestrial","6",25.1,6.75,6.4,7,3,2.82
"Cetacea","Balaenopteridae","Balaenoptera acutorostrata",4705000,10.15,5,404000,0.09,3,"carnivore","no","aquatic","12",22.2,10.15,5,14.6,NA,NA
"Cetacea","Balaenopteridae","Balaenoptera musculus",1.7e+08,10.71,7.1,2272500,0.01,3,"carnivore","no","aquatic","4",40.9,10.71,7.1,11.9,1.3,4.47
"Cetacea","Balaenopteridae","Balaenoptera physalus",66800000,10.93,6.5,1868500,0.03,3,"carnivore","no","aquatic","9-Jul",33.2,10.93,6.5,10.5,2.3,3.73
